date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:59:19	1874/1874	---M--	200	added ('OK')	text/html	etag:%2258a59809-752%22	http://amovie.gozha.net/404.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/404.html	(from http://amovie.gozha.net/index.html)
23:59:19	4854/4854	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-12f6%22	http://amovie.gozha.net/coming-soon.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/coming-soon.html	(from http://amovie.gozha.net/index.html)
23:59:19	17802/17802	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-458a%22	http://amovie.gozha.net/login.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/login.html	(from http://amovie.gozha.net/index.html)
23:59:20	62467/62467	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-f403%22	http://amovie.gozha.net/page-elements.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/page-elements.html	(from http://amovie.gozha.net/index.html)
23:59:20	22334/22334	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-573e%22	http://amovie.gozha.net/typography.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/typography.html	(from http://amovie.gozha.net/index.html)
23:59:20	31979/31979	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59807-7ceb%22	http://amovie.gozha.net/column.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/column.html	(from http://amovie.gozha.net/index.html)
23:59:21	92875/92875	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-16acb%22	http://amovie.gozha.net/icon-font.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/icon-font.html	(from http://amovie.gozha.net/index.html)
23:59:21	30678/30678	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-77d6%22	http://amovie.gozha.net/book1.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/book1.html	(from http://amovie.gozha.net/index.html)
23:59:21	48377/48377	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-bcf9%22	http://amovie.gozha.net/book2.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/book2.html	(from http://amovie.gozha.net/index.html)
23:59:21	22499/22499	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-57e3%22	http://amovie.gozha.net/book3-buy.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/book3-buy.html	(from http://amovie.gozha.net/index.html)
23:59:21	21568/21568	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-5440%22	http://amovie.gozha.net/book3-reserve.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/book3-reserve.html	(from http://amovie.gozha.net/index.html)
23:59:22	21064/21064	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59809-5248%22	http://amovie.gozha.net/book-final.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/book-final.html	(from http://amovie.gozha.net/index.html)
23:59:22	31127/31127	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-7997%22	http://amovie.gozha.net/gallery-four.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/gallery-four.html	(from http://amovie.gozha.net/index.html)
23:59:22	30247/30247	---MCZ	200	added ('OK')	text/html	etag:W/%2258a59808-7627%22	http://amovie.gozha.net/gallery-three.html	C:/Users/hypev/Desktop/kinema/amovie.gozha.net/gallery-three.html	(from http://amovie.gozha.net/index.html)
